,4dwm,acroread,as1,awk,basename,bc,cat,cfe,chmod,ci,col,cpp,date,diff,doc2ps,download,dpost,drf,driver,dvips,echo,ed,emacs20,enscript,env,eqn,ex,expr,expreser,exrecove,fifo,file,find,frm,ftp,gdb,generic,gethost,getopt,getpgrp,ghostvie,gre,grep,gs,gv,gzip,hostname,hpost,id,imake,ksh,launchef,lc,ld_,less,ln,lock,lp,ls,mailx,make,man,mc,mediamai,metamail,mimencod,mkdir,mkpts,more,movemail,mywsh,nawk,netscape,netstat,nroff,perl,platform,post,postprin,ppost,pq,pr,pwd,qk,reaper,rlogin,rm,rmdir,sed,sendmail,sh,show,showdoc,sleep,slmclien,slmhelpe,sort,spell,split,sprog,sqpe,stty,tail,tbl,tcpostio,tcppost,tcsh,test,touch,tput,troff,true,tset,ugen,uname,unlock,unpack,userenv,virtex,wait4wm,whereis,whoami,whois,xauth,xcalenda,xclock,xdm,xdpyinfo,xgobi,xgvis,xhost,xmkmf,xmodmap,xprop,xrdb,xsessio,xsession,xset,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,5,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,0,33,0,0
1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,0,0,2,1,0,2,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0
7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,39,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,4,0,7,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0
8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0
10,0,0,0,1,0,0,4,0,0,1,0,0,4,0,0,1,2,1,0,0,2,0,0,0,0,5,3,1,0,0,2,1,1,0,0,0,10,1,1,1,3,0,1,3,0,0,1,0,1,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,6,0,4,0,0,0,0,0,2,2,0,1,0,0,0,4,4,1,0,1,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0
11,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,1,2,0,0,0,2,0,0,0,0,3,1,2,0,0,2,2,2,0,0,0,12,1,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0
12,0,0,0,1,0,0,6,0,0,0,0,0,7,0,0,2,1,0,0,0,1,0,0,0,0,2,1,1,0,0,4,1,1,0,0,0,17,2,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,0
13,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,16,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,4,0,0,2,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,0
14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,4,0,0,9,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0
15,0,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,1,1,0,0,0,3,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,8,0,0,2,1,2,11,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,3,0,1,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0
16,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,7,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,0,1,1,0,2,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,0
17,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,0
18,0,0,0,1,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1,0,0,1,1,1,0,0,0,6,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,6,0,0,2,1,2,7,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,3,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,0
19,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,3,1,0,0,0,1,0,0,0,0,2,1,2,0,0,3,1,1,0,0,0,17,3,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,9,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,0
20,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,6,2,1,0,0,2,1,1,0,0,0,8,0,1,1,5,0,1,5,0,0,1,0,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,20,0
21,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,10,4,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0
22,0,0,0,1,0,1,9,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,4,0,0,3,2,2,10,0,0,0,4,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,3,0,1,0,0,0,0,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0
23,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,6,5,1,0,0,1,1,1,0,0,0,6,1,1,1,4,0,1,4,0,0,1,0,1,0,0,0,1,0,0,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,7,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,0
24,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0,2,1,1,0,0,3,1,1,0,0,0,14,1,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,6,2,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,0
25,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,2,1,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,2,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0
26,0,0,0,1,0,0,8,0,0,0,0,0,5,0,0,1,0,0,0,0,8,0,0,0,0,0,2,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,2,3,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,1,2,3,13,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,0
27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,0
28,0,0,0,1,0,1,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,10,0,2,1,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,3,2,3,3,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,3,0,2,0,0,0,0,4,1,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,0
29,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,33,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,0
30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0
31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,0,3,1,0,1,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,39,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,8,0,0,8,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0
33,0,0,0,2,0,2,11,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,2,2,0,0,0,11,1,2,1,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,5,0,2,0,0,0,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0
34,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,3,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,0
